27134,055410197901,12,240,250,49500
27137,055410197901,12,35,100,7500
27138,055410197901,12,9,1000,28328
27138,055410197901,09,21,500,46100
27139,055410197901,12,120,50,12000
27140,055410197901,12,19,2000,6800
27141,055410197901,12,62,4500,18000
27142,055410197901,12,152,5500,35500
27143,055410197901,12,121,3000,57000
27144,055410197901,12,8,1100,9656
27145,055410197901,12,120,100,21000
27146,055410197901,12,60,800,48000
27147,055410197901,12,120,200,24000
27161,055410197901,12,4,1100,6900
27161,055410197901,09,4,2000,5400
27162,055410197901,12,4,1100,6414
27162,055410197901,09,4,2000,5400
27164,055410197901,12,5,1100,8428
27164,055410197901,09,4,2000,5400
27165,055410197901,12,4,1800,9600
27165,055410197901,09,5,2600,7400
27168,055410197901,12,7,1100,14928
27168,055410197901,09,5,400,5800
27170,055410197901,12,4,1212,6540
27170,055410197901,09,4,2000,5400
27171,055410197901,12,4800,850,926710
27171,055410197901,09,31,400,56300
27172,055410197901,12,4782,150,848526
27172,055410197901,09,44,400,149100
27173,055410197901,12,1666,9000,251700
27174,055410197901,12,789,1100,186100
27174,055410197901,09,3,500,5100
27176,055410197901,12,1199,800,249740
27176,055410197901,09,35,400,46200
27177,055410197901,12,61723,70,15754540
27177,055410197901,09,179,400,322500
27180,055410197901,12,1,10000,10000
27180,055410197901,09,4,400,6400
27181,055410197901,12,12,850,19490
27181,055410197901,09,7,400,6600
27182,055410197901,12,2,1800,4500
27182,055410197901,09,3,400,5000
27183,055410197901,12,1,10000,10000
27183,055410197901,09,4,400,6400
27184,055410197901,12,3,2700,5700
27184,055410197901,09,3,400,5000
27186,055410197901,09,2,2800,5600
27187,055410197901,12,2,2200,4900
27187,055410197901,09,13,400,52000
27188,055410197901,12,5,2200,10528
27188,055410197901,09,5,2000,7400
27189,055410197901,12,5,1100,8428
27189,055410197901,09,4,400,5400
27190,055410197901,12,5,2200,10228
27190,055410197901,09,5,2000,5800
27191,055410197901,12,3,3000,11000
27191,055410197901,09,3,500,5100
27192,055410197901,12,5,1100,8428
27192,055410197901,09,4,2000,5400
27195,055410197901,12,6,1212,14712
27195,055410197901,09,5,2000,5800
27196,055410197901,12,3,150,7350
27196,055410197901,09,3,400,5000
27198,055410197901,12,5,150,6650
27198,055410197901,09,3,400,1200
27199,055410197901,12,5,3100,8800
27199,055410197901,09,4,2000,5400
27200,055410197901,12,3,2500,8200
27200,055410197901,09,3,500,5100
27203,055410197901,12,2,2000,4000
27203,055410197901,09,4,800,8800
27204,055410197901,12,2,1100,2414
27204,055410197901,09,9,2000,25400
27206,055410197901,12,5,1100,8114
27206,055410197901,09,5,400,5800
27208,055410197901,12,7,1212,14940
27208,055410197901,09,12,400,36000
27229,055410197901,12,120,250,33000
27233,055410197901,12,2,2200,5200
27233,055410197901,09,4,400,7800
27234,055410197901,12,6,1100,7242
27237,055410197901,12,40,1100,24056
27243,055410197901,12,4,750,7500
27243,055410197901,09,12,500,80800
27244,055410197901,12,2,2700,5800
27244,055410197901,09,3,400,5000
27245,055410197901,12,28,1000,100600
27245,055410197901,09,26,400,54600
27246,055410197901,12,4,3000,12000
27246,055410197901,09,2,2000,4600
27247,055410197901,12,4,850,8750
27247,055410197901,09,4,2000,5400
27248,055410197901,12,3,2700,5700
27248,055410197901,09,4,400,7000
27249,055410197901,12,3,1100,5414
27249,055410197901,09,5,400,5800
27250,055410197901,12,11,1212,21562
27250,055410197901,09,9,400,9200
27251,055410197901,12,7,1100,15928
27251,055410197901,09,10,500,17500
27252,055410197901,12,5,3100,8800
27252,055410197901,09,6,500,6300
27258,055410197901,12,4,1100,4828
27259,055410197901,12,4,1100,6800
27259,055410197901,09,4,2000,5400
27262,055410197901,12,1,9000,9000
27265,055410197901,12,3,2000,6000
27266,055410197901,12,30,200,6000
27269,055410197901,12,180,50,22500
27272,055410197901,12,19,1000,54840
27272,055410197901,09,13,400,18100
27278,055410197901,12,4,4000,28000
27278,055410197901,09,4,2000,5400
27284,055410197901,12,14,1100,40728
27284,055410197901,09,19,400,38400
27285,055410197901,12,5684,80,2096828
27285,055410197901,09,980,400,1128400
26511,055410197901,01,438,10800,13921000
26511,055410197901,02,665,5600,18243150
26511,055410197901,03,43,10800,1412700
26511,055410197901,05,422,2700,4863300
26511,055410197901,06,8,133400,1285100
26511,055410197901,08,30,20800,1185900
26511,055410197901,14,8,877800,10387300
26602,055410197901,01,48,19000,1626600
26602,055410197901,02,54,12600,2038550
26602,055410197901,03,2,16400,71400
26602,055410197901,05,21,2700,341800
26602,055410197901,08,1,48000,48000
26910,055410197901,01,1,35100,35100
26911,055410197901,01,1,57600,57600
26911,055410197901,02,1,24300,24300
26912,055410197901,01,1,57600,57600
26913,055410197901,02,8,12600,168400
26914,055410197901,01,1,51800,51800
